"gene","logFC","logCPM","PValue","FDR"
"ADAM12|8038",2.03162734285268,5.05601747716362,2.21639506549574e-19,2.52816797137547e-17
"CYGB|114757",1.3061521231165,3.07607618229352,2.3547684513761e-19,2.66625583696621e-17
"ARSI|340075",1.9319680091589,1.46026718100014,2.46321229179595e-19,2.76868657528218e-17
"PDPN|10630",1.64203189367668,4.92440215155633,2.81408090244536e-19,3.14014723309827e-17
"CD248|57124",1.59614756283134,4.96414513006928,3.68790136810471e-19,4.08561101924061e-17
"ADAMTS10|81794",1.64841020423552,2.81724481416614,3.7907727491972e-19,4.16957925463483e-17
"PSMB9|5698",-1.54846483927486,6.04135972362941,4.37463144484479e-19,4.77765600135922e-17
"MATN3|4148",1.84144823466913,2.03798775259596,4.5395201438223e-19,4.92282187990983e-17
"GLIS2|84662",1.11322733445677,6.63797354041406,5.50765113140872e-19,5.93093145262678e-17
"IGDCC4|57722",1.66355388930718,2.6729202026635,6.57145826059632e-19,7.02735317742519e-17
"FAT3|120114",2.873323634609,0.916246970272029,1.00238166807084e-18,1.06093700444335e-16
"LEPREL2|10536",1.45061219865481,4.57554761772633,1.0058887112717e-18,1.06093700444335e-16
"GBP4|115361",-1.58724209004323,6.02821648097872,1.07822029318306e-18,1.1294907683487e-16
"PSME2|5721",-1.05475539137553,6.38494350354251,1.12044027307239e-18,1.16578782196228e-16
"PMP22|5376",1.17480971372593,5.32777251631572,1.14998534852476e-18,1.18849828066663e-16
"SPON2|10417",1.33761539088624,5.151836554745,1.19607774961957e-18,1.22789341775945e-16
"TAP1|6890",-1.37005628299317,7.36584381697926,1.35326177248612e-18,1.38005814798104e-16
"HTRA1|5654",1.25204690756486,7.19113290429374,1.72772101234866e-18,1.7503405177077e-16
"PRICKLE1|144165",1.67896465939969,4.50895159997882,2.11069740043439e-18,2.12435485420191e-16
"ADAMTS9|56999",1.65290520519075,4.82536346655929,2.19964153034466e-18,2.19949869647906e-16
"MAP4K4|9448",0.818065512415043,6.54790959607366,2.30637445540497e-18,2.29134582185685e-16
"SNED1|25992",1.4000642414913,4.7199864348346,2.60550113697748e-18,2.57193025694335e-16
"CILP|8483",2.16796828812287,4.92877843860792,2.88533702189645e-18,2.83001941402442e-16
"MEX3B|84206",1.41712129024311,2.44399297991036,3.4303974660897e-18,3.34333484685539e-16
"OVGP1|5016",-4.47927457468599,6.48188172697106,3.68538481463726e-18,3.56926042519491e-16
"SMOC2|64094",1.5085597751283,5.17905412547751,3.77588604519886e-18,3.63405432562608e-16
"ASAM|79827",1.7777304433751,2.37239612270325,3.90506507655502e-18,3.73503708781806e-16
"CDC42EP3|10602",0.878247544485832,5.30128704379426,4.11110067978898e-18,3.90782959062164e-16
"CHPF|79586",0.988421257528638,7.78709855274465,4.26227816609646e-18,4.02667616439996e-16
"SHISA2|387914",2.27521663815394,1.95108312896681,4.40555521170563e-18,4.13665516494238e-16
"SEMA7A|8482",1.10558218071007,3.52434329254905,4.55181656101556e-18,4.24808625594415e-16
